id,name,activity_name,total,start_duration,end_duration,start_registration,end_registration,credits_count,activity_type,location,location_kotakab_code,mitra_id,certified,logo,mitra_name,Kab/Kot,Provinsi,Tipe Lokasi,Lokasi,Nama_Provinsi,durasi_magang
252e6cfa-55a5-11ed-adef-fa00dd4e79e4,IoT & Big Data Product Intern,DYNAMIC SUSTAINABILITY PROGRAMS (OFFLINE INTERNSHIP),3,2023-02-16,2023-06-30,2022-12-20,2023-01-31,20,OFFLINE,Kota Jakarta Selatan,16300.0,c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fa53cb75-1f5f-4bad-832b-4cf3dbbf28b5.jpg,XL Axiata,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,134.0
47250498-7098-11ed-83e6-668d7502ff5d, IoT Device Developer,Learning Practice Program ,4,2023-02-16,2023-06-30,2023-01-20,2023-01-31,20,OFFLINE,Kota Jakarta Timur,16400.0,b8aaf5af-e69c-4434-89b5-dc2dbbdf7a15,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c197900c-4362-422d-8cef-5c2f03d7ddb6.png,Synapsis.id,Kota Jakarta Timur,DKI Jakarta,Kota,JakartaTimur,JakartaRaya,134.0
0a238f95-4e7f-11ed-a4ea-f21105c86a34,IoT Engineer,SMART AUTOMATIC GUIDED VEHICLE (AGV),1,2023-02-10,2023-07-14,2022-11-15,2023-01-31,20,OFFLINE,Kota Jakarta Selatan,16300.0,51eebb91-c684-4d2c-a4bb-b1784a3be41a,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_14a64f25-841d-4162-8a8e-f6793d5882f1.png,dr. Mekanik Academy,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,154.0
58f29665-8018-11ed-91e0-ae9e72da6bb1,IoT Engineer,Pengembangan Pembelajaran Sirkular Ekonomi Pertanian Terpadu Dan Pengolahan Sampah Plastik,2,2023-02-16,2023-06-30,2023-01-11,2023-01-30,20,OFFLINE,Kab. Sleman,40200.0,6af7cd4d-9305-48f4-85ac-e8d5e2c64b34,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_fdf76848-5751-4f24-8eed-31bce0d85818.png,INASTEK,Kab. Sleman,DI Yogyakarta,Kabupaten,Sleman,Yogyakarta,134.0
e6f38e4f-809e-11ed-bf55-e28bf6b6d14d,IPA&E - Marketing Communication Officer,"Kompas Gramedia - Dyandra: MICE (Meetings, Incentives, Conferences, Exhibitions) ",2,2023-02-16,2023-06-30,2022-12-26,2023-01-31,20,OFFLINE,Kota Jakarta Pusat,16000.0,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,134.0
2439cf96-80a0-11ed-b098-f6e17ff1bedb,IPA & E - Operational Officer,"Kompas Gramedia - Dyandra: MICE (Meetings, Incentives, Conferences, Exhibitions) ",2,2023-02-16,2023-06-30,2022-12-26,2023-01-31,20,OFFLINE,Kota Jakarta Pusat,16000.0,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,134.0
0f23423d-809e-11ed-82a8-2615bc75a6a3,IPA&E - Program Officer,"Kompas Gramedia - Dyandra: MICE (Meetings, Incentives, Conferences, Exhibitions) ",2,2023-02-16,2023-06-30,2022-12-26,2023-01-31,20,OFFLINE,Kota Jakarta Pusat,16000.0,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,134.0
3d272ac8-80a1-11ed-b375-2603a0457f29,IPA & E - Sales Sponsor Officer,"Kompas Gramedia - Dyandra: MICE (Meetings, Incentives, Conferences, Exhibitions) ",2,2023-02-16,2023-06-30,2022-12-26,2023-01-31,20,OFFLINE,Kota Jakarta Pusat,16000.0,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia,Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,134.0
686eeed0-6f8e-11ed-a7a1-0278cb7f6574,IT,Enhancing KLY through innovative & awe-inspiring videos,10,2023-02-16,2023-06-10,2022-01-17,2023-01-31,20,OFFLINE,Kota Jakarta Pusat,16000.0,eb4f2963-619c-4052-96f5-46fb1828d0a3,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b0cecca1-6125-4d10-851f-a9b1408071dc.png,KLY (Kapanlagi Youniverse),Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,114.0
3058f37d-6fcf-11ed-a7a1-0278cb7f6574,IT Administration,SIP (SCM Internship Program),1,2023-02-16,2023-06-30,2022-12-01,2023-02-16,20,OFFLINE,Kota Jakarta Pusat,16000.0,b409663d-e067-46e0-81d9-eb4fff33f45f,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4c560d1a-0e74-4525-9d9c-4feb95a08b71.png,Surya Citra Media - EMTEK Group,Kota Jakarta Pusat,DKI Jakarta,Kota,JakartaPusat,JakartaRaya,134.0
